"","tdf_stages.Stage","tdf_stages.Date","tdf_stages.Distance","tdf_stages.Origin","tdf_stages.Destination","tdf_stages.Type","tdf_stages.Winner","tdf_stages.Winner_Country"
"442","20",1997-07-26,63,"Disneyland Paris","Disneyland Paris","Individual time trial","Abraham Olano","ESP"
"443","21",1997-07-27,149.5,"Disneyland Paris","Paris","Flat stage","Nicola Minali","ITA"
"444","P",1996-06-29,9.4,"'s-Hertogenbosch","'s-Hertogenbosch","Individual time trial","Alex Zülle","SUI"
"445","1",1996-06-30,209,"'s-Hertogenbosch","'s-Hertogenbosch","Plain stage","Frédéric Moncassin","FRA"
"446","2",1996-07-01,247.5,"'s-Hertogenbosch","Wasquehal","Plain stage","Mario Cipollini","ITA"
"447","3",1996-07-02,195,"Wasquehal","Nogent-sur-Oise","Plain stage","Erik Zabel","GER"
"448","4",1996-07-03,232,"Soissons","Lac de Madine","Plain stage","Cyril Saugrain","FRA"
"449","5",1996-07-04,242,"Lac de Madine","Besançon","Plain stage","Jeroen Blijlevens","NED"
"450","6",1996-07-05,207,"Arc-et-Senans","Aix-les-Bains","Hilly stage","Michael Boogerd","NED"
"451","7",1996-07-06,200,"Chambéry","Les Arcs","Stage with mountain(s)","Luc Leblanc","FRA"
"452","8",1996-07-07,30.5,"Bourg-Saint-Maurice","Val d'Isère","Individual time trial","Evgueni Berzin","RUS"
"453","9",1996-07-08,46,"Le Monêtier-les-Bains","Sestriere","Stage with mountain(s)","Bjarne Riis","DEN"
"454","10",1996-07-09,208.5,"Turin","Gap","Hilly stage","Erik Zabel","GER"
"455","11",1996-07-11,202,"Gap","Valence","Hilly stage","José Jaime Gonzalez","COL"
"456","12",1996-07-12,143.5,"Valence","Le Puy-en-Velay","Hilly stage","Pascal Richard","SUI"
"457","13",1996-07-13,177,"Le Puy-en-Velay","Super Besse","Hilly stage","Rolf Sørensen","DEN"
"458","14",1996-07-14,186.5,"Besse","Tulle","Hilly stage","Djamolidine Abduzhaparov","UZB"
"459","15",1996-07-15,176,"Brive-la-Gaillarde","Villeneuve-sur-Lot","Plain stage","Massimo Podenzana","ITA"
"460","16",1996-07-16,199,"Agen","Hautacam","Stage with mountain(s)","Bjarne Riis","DEN"
"461","17",1996-07-17,262,"Argelès-Gazost","Pamplona","Stage with mountain(s)","Laurent Dufaux","SUI"
"462","18",1996-07-18,154.5,"Pamplona","Hendaye","Hilly stage","Bart Voskamp","NED"
"463","19",1996-07-19,226.5,"Hendaye","Bordeaux","Plain stage","Frédéric Moncassin","FRA"
"464","20",1996-07-20,63.5,"Bordeaux","Saint-Émilion","Individual time trial","Jan Ullrich","GER"
"465","21",1996-07-21,147.5,"Palaiseau","Paris","Plain stage","Fabio Baldato","ITA"
"466","P",1995-07-01,7.3,"Saint-Brieuc","Saint-Brieuc","Individual time trial","Jacky Durand","FRA"
"467","1",1995-07-02,233.5,"Dinan","Lannion","Plain stage","Fabio Baldato","ITA"
"468","2",1995-07-03,235.5,"Perros-Guirec","Vitre","Plain stage","Mario Cipollini","ITA"
"469","3",1995-07-04,67,"Mayenne","Alençon","Team time trial","Gewiss–Ballan",NA
"470","4",1995-07-05,162,"Alençon","Le Havre","Plain stage","Mario Cipollini","ITA"
"471","5",1995-07-06,261,"Fécamp","Dunkirk","Plain stage","Jeroen Blijlevens","NED"
"472","6",1995-07-07,202,"Dunkirk","Charleroi","Plain stage","Erik Zabel","GER"
"473","7",1995-07-08,203,"Charleroi","Liège","Hilly stage","Johan Bruyneel","BEL"
"474","8",1995-07-09,54,"Huy","Seraing","Individual time trial","Miguel Indurain","ESP"
"475","9",1995-07-11,160,"Le Grand-Bornand","La Plagne","Stage with mountain(s)","Alex Zülle","SUI"
"476","10",1995-07-12,162.5,"La Plagne","L'Alpe d'Huez","Stage with mountain(s)","Marco Pantani","ITA"
"477","11",1995-07-13,199,"Le Bourg-d'Oisans","Saint-Étienne","Hilly stage","Maximilian Sciandri","GBR"
"478","12",1995-07-14,222.5,"Saint-Étienne","Mende","Hilly stage","Laurent Jalabert","FRA"
