"","tdf_stages.Stage","tdf_stages.Date","tdf_stages.Distance","tdf_stages.Origin","tdf_stages.Destination","tdf_stages.Type","tdf_stages.Winner","tdf_stages.Winner_Country"
"525","16",1993-07-21,230,"Andorra","Saint-Lary-Soulan Pla d'Adet","Stage with mountain(s)","Zenon Jaskula","POL"
"526","17",1993-07-22,190,"Tarbes","Pau","Stage with mountain(s)","Claudio Chiappucci","ITA"
"527","18",1993-07-23,199.5,"Orthez","Bordeaux","Plain stage","Djamolidine Abdoujaparov","UZB"
"528","19",1993-07-24,48,"Brétigny-sur-Orge","Montlhéry","Individual time trial","Toni Rominger","SUI"
"529","20",1993-07-25,196.5,"Viry-Châtillon","Paris","Plain stage","Djamolidine Abdoujaparov","UZB"
"530","P",1992-07-04,8,"San Sebastián","San Sebastián","Individual time trial","Miguel Indurain","ESP"
"531","1",1992-07-05,194.5,"San Sebastián","San Sebastián","Hilly stage","Dominique Arnould","FRA"
"532","2",1992-07-06,255,"San Sebastián","Pau","Hilly stage","Javier Murguialday","ESP"
"533","3",1992-07-07,210,"Pau","Bordeaux","Plain stage","Rob Harmeling","NED"
"534","4",1992-07-08,63.5,"Libourne","Libourne","Team time trial","Panasonic–Sportlife",NA
"535","5",1992-07-09,196,"Nogent-sur-Oise","Wasquehal","Plain stage","Guido Bontempi","ITA"
"536","6",1992-07-10,167,"Roubaix","Brussels","Plain stage","Laurent Jalabert","FRA"
"537","7",1992-07-11,196.5,"Brussels","Valkenburg","Plain stage","Gilles Delion","FRA"
"538","8",1992-07-12,206.5,"Valkenburg","Koblenz","Plain stage","Jan Nevens","BEL"
"539","9",1992-07-13,65,"Luxembourg City","Luxembourg City","Individual time trial","Miguel Indurain","ESP"
"540","10",1992-07-14,217,"Luxembourg City","Strasbourg","Plain stage","Jean-Paul van Poppel","NED"
"541","11",1992-07-15,249.5,"Strasbourg","Mulhouse","Hilly stage","Laurent Fignon","FRA"
"542","12",1992-07-16,267.5,"Dole","St Gervais","Hilly stage","Rolf Järmann","SUI"
"543","13",1992-07-18,254.5,"St Gervais","Sestriere","Stage with mountain(s)","Claudio Chiappucci","ITA"
"544","14",1992-07-19,186.5,"Sestriere","Alpe d'Huez","Stage with mountain(s)","Andrew Hampsten","USA"
"545","15",1992-07-20,198,"Le Bourg-d'Oisans","Saint-Étienne","Hilly stage","Franco Chioccioli","ITA"
"546","16",1992-07-21,212,"Saint-Étienne","La Bourboule","Hilly stage","Stephen Roche","IRE"
"547","17",1992-07-22,189,"La Bourboule","Montluçon","Plain stage","Jean-Claude Colotti","FRA"
"548","18",1992-07-23,212,"Montluçon","Tours","Plain stage","Thierry Marie","FRA"
"549","19",1992-07-24,64,"Tours","Blois","Individual time trial","Miguel Indurain","ESP"
"550","20",1992-07-25,222,"Blois","Nanterre","Plain stage","Peter De Clercq","BEL"
"551","21",1992-07-26,141,"La Défense","Paris","Plain stage","Olaf Ludwig","GER"
"552","P",1991-07-06,5.4,"Lyon","Lyon","Individual time trial","Thierry Marie","FRA"
"553","1",1991-07-07,114.5,"Lyon","Lyon","Plain stage","Djamolidine Abdoujaparov","URS"
"554","2",1991-07-07,36.5,"Bron","Chassieu","Team time trial","Ariostea",NA
"555","3",1991-07-08,210.5,"Villeurbanne","Dijon","Plain stage","Etienne De Wilde","BEL"
"556","4",1991-07-09,286,"Dijon","Reims","Plain stage","Djamolidine Abdoujaparov","URS"
"557","5",1991-07-10,149.5,"Reims","Valenciennes","Plain stage","Jelle Nijdam","NED"
"558","6",1991-07-11,259,"Arras","Le Havre","Plain stage","Thierry Marie","FRA"
"559","7",1991-07-12,167,"Le Havre","Argentan","Plain stage","Jean-Paul van Poppel","NED"
"560","8",1991-07-13,73,"Argentan","Alençon","Individual time trial","Miguel Indurain","ESP"
"561","9",1991-07-14,161,"Alençon","Rennes","Plain stage","Mauro Ribeiro","BRA"
"562","10",1991-07-15,207.5,"Rennes","Quimper","Plain stage","Phil Anderson","AUS"
"563","11",1991-07-16,246,"Quimper","Saint-Herblain","Plain stage","Charly Mottet","FRA"
"564","12",1991-07-18,192,"Pau","Jaca","Stage with mountain(s)","Charly Mottet","FRA"
"565","13",1991-07-19,232,"Jaca","Val-Louron","Stage with mountain(s)","Claudio Chiappucci","ITA"
"566","14",1991-07-20,172.5,"St Gaudens","Castres","Plain stage","Bruno Cenghialta","ITA"
"567","15",1991-07-21,235,"Albi","Ales","Hilly stage","Moreno Argentin","ITA"
"568","16",1991-07-22,215,"Alès","Gap","Plain stage","Marco Lietti","ITA"
"569","17",1991-07-23,125,"Gap","Alpe d'Huez","Stage with mountain(s)","Gianni Bugno","ITA"
"570","18",1991-07-24,255,"Le Bourg-d'Oisans","Morzine","Stage with mountain(s)","Thierry Claveyrolat","FRA"
"571","19",1991-07-25,177,"Morzine","Aix-les-Bains","Hilly stage","Dmitri Konychev","URS"
"572","20",1991-07-26,160,"Aix-les-Bains","Mâcon","Hilly stage","Viatcheslav Ekimov","URS"
"573","21",1991-07-27,57,"Lugny","Mâcon","Individual time trial","Miguel Indurain","ESP"
"574","22",1991-07-28,178,"Melun","Paris","Plain stage","Dmitri Konychev","URS"
"575","P",1990-06-30,6.3,"Futuroscope","Futuroscope","Individual time trial","Thierry Marie","FRA"
"576","1",1990-07-01,138.5,"Futuroscope","Futuroscope","Plain stage","Frans Maassen","NED"
"577","2",1990-07-01,44.5,"Futuroscope","Futuroscope","Team time trial","Panasonic–Sportlife",NA
"578","3",1990-07-02,233,"Poitiers","Nantes","Plain stage","Moreno Argentin","ITA"
"579","4",1990-07-03,203,"Nantes","Mont Saint-Michel","Plain stage","Johan Museeuw","BEL"
"580","5",1990-07-04,301,"Avranches","Rouen","Plain stage","Gerrit Solleveld","NED"
"581","6",1990-07-06,202.5,"Sarrebourg","Vittel","Plain stage","Jelle Nijdam","NED"
"582","7",1990-07-07,61.5,"Vittel","Épinal","Individual time trial","Raúl Alcalá","MEX"
"583","8",1990-07-08,181.5,"Épinal","Besançon","Plain stage","Olaf Ludwig","GDR"
"584","9",1990-07-09,196,"Besançon","Geneva","Hilly stage","Massimo Ghirotto","ITA"
"585","10",1990-07-10,118.5,"Geneva","Saint-Gervais","Stage with mountain(s)","Thierry Claveyrolat","FRA"
"586","11",1990-07-11,182.5,"Saint-Gervais","Alpe d'Huez","Stage with mountain(s)","Gianni Bugno","ITA"
"587","12",1990-07-12,33.5,"Fontaine","Villard-de-Lans","Mountain time trial","Erik Breukink","NED"
"588","13",1990-07-14,149,"Villard-de-Lans","Saint-Étienne","Hilly stage","Eduardo Chozas","ESP"
"589","14",1990-07-15,205,"Le Puy-en-Velay","Millau","Hilly stage","Marino Lejarreta","ESP"
"590","15",1990-07-16,170,"Millau","Revel","Plain stage","Charly Mottet","FRA"
"591","16",1990-07-17,215,"Blagnac","Luz Ardiden","Stage with mountain(s)","Miguel Indurain","ESP"
"592","17",1990-07-18,150,"Lourdes","Pau","Stage with mountain(s)","Dmitri Konychev","URS"
"593","18",1990-07-19,202,"Pau","Bordeaux","Plain stage","Gianni Bugno","ITA"
"594","19",1990-07-20,182.5,"Castillon-la-Bataille","Limoges","Plain stage","Guido Bontempi","ITA"
"595","20",1990-07-21,45.5,"Lac de Vassivière","Lac de Vassivière","Individual time trial","Erik Breukink","NED"
"596","21",1990-07-22,182.5,"Brétigny-sur-Orge","Paris","Plain stage","Johan Museeuw","BEL"
"597","P",1989-07-01,7.8,"Luxembourg City","Luxembourg City","Individual time trial","Erik Breukink","NED"
"598","1",1989-07-02,135.5,"Luxembourg City","Luxembourg City","Plain stage","Acácio da Silva","POR"
"599","2",1989-07-02,46,"Luxembourg City","Luxembourg City","Team time trial","Super U–Raleigh–Fiat",NA
"600","3",1989-07-03,241,"Luxembourg City","Spa","Plain stage","Raúl Alcalá","MEX"
"601","4",1989-07-04,255,"Liège","Wasquehal","Flat cobblestone stage","Jelle Nijdam","NED"
"602","5",1989-07-06,73,"Dinard","Rennes","Individual time trial","Greg LeMond","USA"
"603","6",1989-07-07,259,"Rennes","Futuroscope","Plain stage","Joël Pelier","FRA"
"604","7",1989-07-08,258.5,"Poitiers","Bordeaux","Plain stage","Etienne De Wilde","BEL"
"605","8",1989-07-09,157,"Labastide-d'Armagnac","Pau","Plain stage","Martin Earley","IRE"
"606","9",1989-07-10,147,"Pau","Cauterets","Stage with mountain(s)","Miguel Induráin","ESP"
"607","10",1989-07-11,136,"Cauterets","Superbagnères","Stage with mountain(s)","Robert Millar","GBR"
"608","11",1989-07-12,158.5,"Luchon","Blagnac","Plain stage","Mathieu Hermans","NED"
"609","12",1989-07-13,242,"Toulouse","Montpellier","Plain stage","Valerio Tebaldi","ITA"
"610","13",1989-07-14,179,"Montpellier","Marseille","Plain stage","Vincent Barteau","FRA"
"611","14",1989-07-15,240,"Marseille","Gap","Hilly stage","Jelle Nijdam","NED"
"612","15",1989-07-16,39,"Gap","Orcières-Merlette","Mountain time trial","Steven Rooks","NED"
"613","16",1989-07-18,175,"Gap","Briançon","Stage with mountain(s)","Pascal Richard","SUI"
"614","17",1989-07-19,165,"Briançon","Alpe d'Huez","Stage with mountain(s)","Gert-Jan Theunisse","NED"
"615","18",1989-07-20,91.5,"Le Bourg-d'Oisans","Villard-de-Lans","Stage with mountain(s)","Laurent Fignon","FRA"
"616","19",1989-07-21,125,"Villard-de-Lans","Aix-les-Bains","Stage with mountain(s)","Greg LeMond","USA"
"617","20",1989-07-22,130,"Aix-les-Bains","L'Isle-d'Abeau","Plain stage","Giovanni Fidanza","ITA"
"618","21",1989-07-23,24.5,"Versailles","Paris","Individual time trial","Greg LeMond","USA"
"619","P",1988-07-03,1,"Pornichet","La Baule","Individual time trial","Guido Bontempi","ITA"
"620","1",1988-07-04,92,"Pontchâteau","Machecoul","Plain stage","Steve Bauer","CAN"
"621","2",1988-07-04,48,"La Haie-Fouassière","Ancenis","Team time trial","Panasonic–Isostar–Colnago–Agu",NA
"622","3",1988-07-05,213,"Nantes","Le Mans","Plain stage","Jean-Paul van Poppel","NED"
"623","4",1988-07-06,158,"Le Mans","Évreux","Plain stage","Acácio da Silva","POR"
"624","5",1988-07-07,148,"Neufchâtel-en-Bray","Liévin","Plain stage","Jelle Nijdam","NED"
"625","6",1988-07-08,52,"Liévin","Wasquehal","Individual time trial","Sean Yates","GBR"
"626","7",1988-07-09,225,"Wasquehal","Reims","Plain stage","Valerio Tebaldi","ITA"
"627","8",1988-07-10,219,"Reims","Nancy","Plain stage","Rolf Gölz","GER"
"628","9",1988-07-11,161,"Nancy","Strasbourg","Hilly stage","Jérôme Simon","FRA"
"629","10",1988-07-12,149,"Belfort","Besançon","Hilly stage","Jean-Paul van Poppel","NED"
"630","11",1988-07-13,232,"Besançon","Morzine","Stage with mountain(s)","Fabio Parra","COL"
"631","12",1988-07-14,227,"Morzine","Alpe d'Huez","Stage with mountain(s)","Steven Rooks","NED"
"632","13",1988-07-15,38,"Grenoble","Villard-de-Lans","Mountain time trial","Pedro Delgado","ESP"
"633","14",1988-07-17,163,"Blagnac","Guzet-Neige","Stage with mountain(s)","Massimo Ghirotto","ITA"
"634","15",1988-07-18,187,"Saint-Girons","Luz Ardiden","Stage with mountain(s)","Laudelino Cubino","ESP"
"635","16",1988-07-19,35,"Luz Ardiden","Pau","Plain stage","Adrie van der Poel","NED"
"636","17",1988-07-19,198,"Pau","Bordeaux","Plain stage","Jean-Paul van Poppel","NED"
"637","18",1988-07-20,94,"Ruelle-sur-Touvre","Limoges","Plain stage","Gianni Bugno","ITA"
"638","19",1988-07-21,188,"Limoges","Puy de Dôme","Hilly stage","Johnny Weltz","DEN"
"639","20",1988-07-22,223,"Clermont-Ferrand","Chalon-sur-Saône","Plain stage","Thierry Marie","FRA"
"640","21",1988-07-23,46,"Santenay","Santenay","Individual time trial","Juan Martinéz","ESP"
"641","22",1988-07-24,173,"Nemours","Paris","Plain stage","Jean-Paul van Poppel","NED"
"642","P",1987-07-01,6,"West Berlin","West Berlin","Individual time trial","Jelle Nijdam","NED"
"643","1",1987-07-02,105,"West Berlin","West Berlin","Plain stage","Nico Verhoeven","NED"
"644","2",1987-07-02,41,"West Berlin","West Berlin","Team time trial","Carrera Jeans–Vagabond",NA
"645","3",1987-07-04,219,"Karlsruhe","Stuttgart","Plain stage","Acácio da Silva","POR"
"646","4",1987-07-05,79,"Stuttgart","Pforzheim","Plain stage","Herman Frison","BEL"
"647","5",1987-07-05,112,"Pforzheim","Strasbourg","Plain stage","Marc Sergeant","BEL"
"648","6",1987-07-06,169,"Strasbourg","Épinal","Plain stage","Christophe Lavainne","FRA"
"649","7",1987-07-07,211,"Épinal","Troyes","Plain stage","Manuel Jorge Domínguez[8]","ESP"
"650","8",1987-07-08,206,"Troyes","Épinay-sous-Sénart","Plain stage","Jean-Paul van Poppel","NED"
"651","9",1987-07-09,260,"Orléans","Renazé","Plain stage","Adrie van der Poel","NED"
"652","10",1987-07-10,87,"Saumur","Futuroscope","Individual time trial","Stephen Roche","IRE"
"653","11",1987-07-11,206,"Poitiers","Chaumeil","Hilly stage","Martial Gayant","FRA"
"654","12",1987-07-12,228,"Brive","Bordeaux","Plain stage","Davis Phinney","USA"
"655","13",1987-07-13,219,"Bayonne","Pau","Stage with mountain(s)","Erik Breukink","NED"
"656","14",1987-07-14,166,"Pau","Luz Ardiden","Stage with mountain(s)","Dag Otto Lauritzen","NOR"
"657","15",1987-07-15,164,"Tarbes","Blagnac","Plain stage","Rolf Gölz","GER"
"658","16",1987-07-16,216,"Blagnac","Millau","Hilly stage","Régis Clère","FRA"
"659","17",1987-07-17,239,"Millau","Avignon","Hilly stage","Jean-Paul van Poppel","NED"
"660","18",1987-07-19,37,"Carpentras","Mont Ventoux","Mountain time trial","Jean-François Bernard","FRA"
"661","19",1987-07-20,185,"Valréas","Villard-de-Lans","Stage with mountain(s)","Pedro Delgado","ESP"
"662","20",1987-07-21,201,"Villard-de-Lans","Alpe d'Huez","Stage with mountain(s)","Federico Echave","ESP"
"663","21",1987-07-22,185,"Le Bourg-d'Oisans","La Plagne","Stage with mountain(s)","Laurent Fignon","FRA"
"664","22",1987-07-23,186,"La Plagne","Morzine","Stage with mountain(s)","Eduardo Chozas","ESP"
"665","23",1987-07-24,225,"Saint-Julien-en-Genevois","Dijon","Plain stage","Régis Clère","FRA"
"666","24",1987-07-25,38,"Dijon","Dijon","Individual time trial","Jean-François Bernard","FRA"
"667","25",1987-07-26,192,"Créteil","Paris","Plain stage","Jeff Pierce","USA"
"668","P",1986-07-04,4.6,"Boulogne-Billancourt","Boulogne-Billancourt","Individual time trial","Thierry Marie","FRA"
"669","1",1986-07-05,85,"Nanterre","Sceaux","Plain stage","Pol Verschuere","BEL"
"670","2",1986-07-05,56,"Meudon","Saint-Quentin-en-Yvelines","Team time trial","Système U",NA
"671","3",1986-07-06,214,"Levallois-Perret","Liévin","Plain stage","Davis Phinney","USA"
"672","4",1986-07-07,243,"Liévin","Évreux","Plain stage","Pello Ruiz Cabestany","ESP"
"673","5",1986-07-08,124.5,"Evreux","Villers-sur-Mer","Plain stage","Johan van der Velde","NED"
"674","6",1986-07-09,200,"Villers-sur-Mer","Cherbourg","Plain stage","Guido Bontempi","ITA"
"675","7",1986-07-10,201,"Cherbourg","Saint-Hilaire-du-Harcouët","Plain stage","Ludo Peeters","BEL"
"676","8",1986-07-11,204,"Saint-Hilaire-du-Harcouët","Nantes","Plain stage","Eddy Planckaert","BEL"
"677","9",1986-07-12,61.5,"Nantes","Nantes","Individual time trial","Bernard Hinault","FRA"
"678","10",1986-07-13,183,"Nantes","Futuroscope","Plain stage","Jose-Angel Sarrapio","ESP"
"679","11",1986-07-14,258.3,"Futuroscope","Bordeaux","Plain stage","Rudy Dhaenens","BEL"
"680","12",1986-07-15,217.5,"Bayonne","Pau","Stage with mountain(s)","Pedro Delgado","ESP"
"681","13",1986-07-16,186,"Pau","Superbagnères","Stage with mountain(s)","Greg LeMond","USA"
"682","14",1986-07-17,154,"Superbagnères","Blagnac","Plain stage","Niki Rüttimann","SUI"
"683","15",1986-07-18,225.5,"Carcassonne","Nîmes","Plain stage","Frank Hoste","BEL"
"684","16",1986-07-19,246.5,"Nîmes","Gap","Plain stage","Jean-François Bernard","FRA"
"685","17",1986-07-20,190,"Gap","Serre Chevalier","Stage with mountain(s)","Eduardo Chozas","ESP"
"686","18",1986-07-21,162.5,"Briançon","Alpe d'Huez","Stage with mountain(s)","Bernard Hinault","FRA"
"687","19",1986-07-23,179.5,"Villard-de-Lans","Saint-Étienne","Plain stage","Julián Gorospe","ESP"
"688","20",1986-07-24,58,"Saint-Étienne","Saint-Étienne","Individual time trial","Bernard Hinault","FRA"
"689","21",1986-07-25,190,"Saint-Étienne","Puy de Dôme","Plain stage","Erich Mächler","SUI"
"690","22",1986-07-26,194,"Clermont-Ferrand","Nevers","Plain stage","Guido Bontempi","ITA"
"691","23",1986-07-27,255,"Cosne-sur-Loire","Paris","Plain stage","Guido Bontempi","ITA"
"692","P",1985-06-28,6,"Plumelec","Plumelec","Individual time trial","Bernard Hinault","FRA"
"693","1",1985-06-29,256,"Vannes","Lanester","Plain stage","Rudy Matthijs","BEL"
"694","2",1985-06-30,242,"Lorient","Vitre","Plain stage","Rudy Matthijs","BEL"
"695","3",1985-07-01,73,"Vitre","Fougères","Team time trial","La Vie Claire",NA
"696","4",1985-07-02,239,"Fougères","Pont-Audemer","Plain stage","Gerrit Solleveld","NED"
"697","5",1985-07-03,224,"Neufchâtel-en-Bray","Roubaix","Plain stage with cobblestones","Henri Manders","NED"
"698","6",1985-07-04,222,"Roubaix","Reims","Plain stage","Francis Castaing","FRA"
"699","7",1985-07-05,217,"Reims","Nancy","Plain stage","Ludwig Wijnants","BEL"
"700","8",1985-07-06,75,"Sarrebourg","Strasbourg","Individual time trial","Bernard Hinault","FRA"
"701","9",1985-07-07,174,"Strasbourg","Épinal","Hilly stage","Maarten Ducrot","NED"
"702","10",1985-07-08,204,"Épinal","Pontarlier","Hilly stage","Jørgen V. Pedersen","DEN"
"703","11",1985-07-09,195,"Pontarlier","Morzine Avoriaz","Stage with mountain(s)","Luis Herrera","COL"
"704","12",1985-07-10,269,"Morzine Avoriaz","Lans-en-Vercors","Stage with mountain(s)","Fabio Parra","COL"
"705","13",1985-07-11,32,"Villard-de-Lans","Villard-de-Lans","Individual time trial","Eric Vanderaerden","BEL"
"706","14",1985-07-13,179,"Autrans","Saint-Étienne","Hilly stage","Luis Herrera","COL"
"707","15",1985-07-14,238,"Saint-Étienne","Aurillac","Plain stage","Eduardo Chozas","ESP"
"708","16",1985-07-15,247,"Aurillac","Toulouse","Plain stage","Frédéric Vichot","FRA"
"709","17",1985-07-16,209,"Toulouse","Luz Ardiden","Stage with mountain(s)","Pedro Delgado","ESP"
"710","18a",1985-07-17,53,"Luz-Saint-Sauveur","Aubisque","Stage with mountain(s)","Stephen Roche","IRE"
"711","18b",1985-07-17,83,"Laruns","Pau","Stage with mountain(s)","Régis Simon","FRA"
"712","19",1985-07-18,203,"Pau","Bordeaux","Plain stage","Eric Vanderaerden","BEL"
"713","20",1985-07-19,225,"Montpon-Ménestérol","Limoges","Plain stage","Johan Lammerts","NED"
"714","21",1985-07-20,46,"Lac de Vassivière","Lac de Vassivière","Individual time trial","Greg LeMond","USA"
"715","22",1985-07-21,196,"Orléans","Paris","Plain stage","Rudy Matthijs","BEL"
"716","P",1984-06-29,5,"Montreuil","Noisy-le-Sec","Individual time trial","Bernard Hinault","FRA"
"717","1",1984-06-30,149,"Bondy","Saint-Denis","Plain stage","Frank Hoste","BEL"
"718","2",1984-07-01,249,"Bobigny","Louvroil","Plain stage","Marc Madiot","FRA"
"719","3",1984-07-02,51,"Louvroil","Valenciennes","Team time trial","Renault–Elf",NA
"720","4",1984-07-02,83,"Valenciennes","Béthune","Plain stage","Ferdi Van Den Haute","BEL"
"721","5",1984-07-03,207,"Béthune","Cergy-Pontoise","Plain stage","Paulo Ferreira","POR"
"722","6",1984-07-04,202,"Cergy-Pontoise","Alençon","Plain stage","Frank Hoste","BEL"
"723","7",1984-07-05,67,"Alençon","Le Mans","Individual time trial","Laurent Fignon","FRA"
"724","8",1984-07-06,192,"Le Mans","Nantes","Plain stage","Pascal Jules","FRA"
"725","9",1984-07-07,338,"Nantes","Bordeaux","Plain stage","Jan Raas","NED"
"726","10",1984-07-08,198,"Langon","Pau","Plain stage","Eric Vanderaerden","BEL"
"727","11",1984-07-09,227,"Pau","Guzet-Neige","Stage with mountain(s)","Robert Millar","GBR"
"728","12",1984-07-10,111,"Saint-Girons","Blagnac","Plain stage","Pascal Poisson","FRA"
"729","13",1984-07-11,220,"Blagnac","Rodez","Plain stage","Pierre-Henri Menthéour","FRA"
"730","14",1984-07-12,228,"Rodez","Domaine du Rouret","Hilly stage","Fons De Wolf","BEL"
"731","15",1984-07-13,241,"Domaine du Rouret","Grenoble","Hilly stage","Frédéric Vichot","FRA"
"732","16",1984-07-15,22,"Les Échelles","La Ruchère","Individual time trial","Laurent Fignon","FRA"
"733","17",1984-07-16,151,"Grenoble","Alpe d'Huez","Stage with mountain(s)","Luis Herrera","COL"
"734","18",1984-07-17,185,"Le Bourg-d'Oisans","La Plagne","Stage with mountain(s)","Laurent Fignon","FRA"
"735","19",1984-07-18,186,"La Plagne","Morzine","Stage with mountain(s)","Ángel Arroyo","ESP"
"736","20",1984-07-19,141,"Morzine","Crans-Montana","Stage with mountain(s)","Laurent Fignon","FRA"
"737","21",1984-07-20,320,"Crans-Montana","Villefranche-sur-Saône","Hilly stage","Frank Hoste","BEL"
"738","22",1984-07-21,51,"Villié-Morgon","Villefranche-sur-Saône","Individual time trial","Laurent Fignon","FRA"
"739","23",1984-07-22,197,"Pantin","Paris","Hilly stage","Eric Vanderaerden","BEL"
"740","P",1983-07-01,6,"Fontenay-sous-Bois","Fontenay-sous-Bois","Individual time trial","Eric Vanderaerden","BEL"
"741","1",1983-07-02,163,"Nogent-sur-Marne","Créteil","Plain stage","Frits Pirard","NED"
"742","2",1983-07-03,100,"Soissons","Fontaine-au-Pire","Team time trial","COOP–Mercier–Mavic",NA
"743","3",1983-07-04,152,"Valenciennes","Roubaix","Hilly stage","Rudy Matthijs","BEL"
"744","4",1983-07-05,300,"Roubaix","Le Havre","Plain stage","Serge Demierre","SUI"
"745","5",1983-07-06,257,"Le Havre","Le Mans","Plain stage","Dominique Gaigne","FRA"
"746","6",1983-07-07,58,"Châteaubriant","Nantes","Individual time trial","Bert Oosterbosch","NED"
"747","7",1983-07-08,216,"Nantes","Île d'Oléron","Plain stage","Riccardo Magrini","ITA"
"748","8",1983-07-09,222,"La Rochelle","Bordeaux","Plain stage","Bert Oosterbosch","NED"
"749","9",1983-07-10,207,"Bordeaux","Pau","Plain stage","Philippe Chevallier","FRA"
"750","10",1983-07-11,201,"Pau","Bagnères-de-Luchon","Stage with mountain(s)","Robert Millar","GBR"
"751","11",1983-07-12,177,"Bagnères-de-Luchon","Fleurance","Plain stage","Régis Clère","FRA"
"752","12",1983-07-13,261,"Fleurance","Roquefort-sur-Soulzon","Plain stage","Kim Andersen","DEN"
"753","13",1983-07-14,210,"Roquefort-sur-Soulzon","Aurillac","Hilly stage","Henk Lubberding","NED"
"754","14",1983-07-15,149,"Aurillac","Issoire","Hilly stage","Pierre Le Bigaut","FRA"
"755","15",1983-07-16,16,"Clermont-Ferrand","Puy de Dôme","Individual time trial","Ángel Arroyo","ESP"
"756","16",1983-07-17,144,"Issoire","Saint-Étienne","Hilly stage","Michel Laurent","FRA"
"757","17",1983-07-18,223,"La Tour-du-Pin","Alpe d'Huez","Stage with mountain(s)","Peter Winnen","NED"
"758","18",1983-07-20,247,"Le Bourg-d'Oisans","Morzine","Stage with mountain(s)","Jacques Michaud","FRA"
"759","19",1983-07-21,15,"Morzine","Avoriaz","Individual time trial","Lucien Van Impe","BEL"
"760","20",1983-07-22,291,"Morzine","Dijon","Plain stage","Philippe Leleu","FRA"
"761","21",1983-07-23,50,"Dijon","Dijon","Individual time trial","Laurent Fignon","FRA"
"762","22",1983-07-24,195,"Alfortville","Paris","Plain stage","Gilbert Glaus","SUI"
"763","P",1982-07-02,7,"Basel","Basel","Individual time trial","Bernard Hinault","FRA"
"764","1",1982-07-03,207,"Basel","Möhlin","Hilly stage","Ludo Peeters","BEL"
"765","2",1982-07-04,250,"Basel","Nancy","Plain stage","Phil Anderson","AUS"
"766","3",1982-07-05,134,"Nancy","Longwy","Plain stage","Daniel Willems","BEL"
"767","4",1982-07-06,219,"Beauraing","Mouscron","Plain stage","Gerrie Knetemann","NED"
"768","5",1982-07-07,73,"Orchies","Fontaine-au-Pire","Team time trial","Cancelled and replaced by stage 9a",NA
"769","6",1982-07-08,233,"Lille","Lille","Plain stage","Jan Raas","NED"
"770","7",1982-07-10,235,"Cancale","Concarneau","Plain stage","Pol Verschuere","BEL"
"771","8",1982-07-11,201,"Concarneau","Châteaulin","Plain stage","Frank Hoste","BEL"
"772","9a",1982-07-12,69,"Lorient","Plumelec","Team time trial","Renault–Elf–Gitane",NA
"773","9b",1982-07-12,138,"Plumelec","Nantes","Plain stage","Stefan Mutter","SUI"
"774","10",1982-07-13,147,"Saintes","Bordeaux","Plain stage","Pierre-Raymond Villemiane","FRA"
"775","11",1982-07-14,57,"Valence d'Agen","Valence d'Agen","Individual time trial","Gerrie Knetemann","NED"
"776","12",1982-07-15,249,"Fleurance","Pau","Stage with mountain(s)","Sean Kelly","IRE"
"777","13",1982-07-16,122,"Pau","Saint-Lary-Soulan Pla d'Adet","Stage with mountain(s)","Beat Breu","SUI"
"778","14",1982-07-18,33,"Martigues","Martigues","Individual time trial","Bernard Hinault","FRA"
"779","15",1982-07-19,208,"Manosque","Orcières-Merlette","Stage with mountain(s)","Pascal Simon","FRA"
"780","16",1982-07-20,123,"Orcières-Merlette","Alpe d'Huez","Stage with mountain(s)","Beat Breu","SUI"
"781","17",1982-07-21,251,"Le Bourg-d'Oisans","Morzine","Stage with mountain(s)","Peter Winnen","NED"
"782","18",1982-07-22,233,"Morzine","Saint-Priest","Plain stage","Adrie van Houwelingen","NED"
"783","19",1982-07-23,48,"Saint-Priest","Saint-Priest","Individual time trial","Bernard Hinault","FRA"
"784","20",1982-07-24,161,"Sens","Aulnay-sous-Bois","Plain stage","Daniel Willems","BEL"
"785","21",1982-07-25,187,"Fontenay-sous-Bois","Paris","Plain stage","Bernard Hinault","FRA"
"786","P",1981-06-25,6,"Nice","Nice","Individual time trial","Bernard Hinault","FRA"
"787","1a",1981-06-26,97,"Nice","Nice","Hilly stage","Freddy Maertens","BEL"
"788","1b",1981-06-26,40,"Nice","Nice","Team time trial","TI–Raleigh–Creda[11]",NA
"789","2",1981-06-27,254,"Nice","Martigues","Plain stage","Johan van der Velde","NED"
"790","3",1981-06-28,232,"Martigues","Narbonne","Plain stage","Freddy Maertens","BEL"
"791","4",1981-06-29,77,"Narbonne","Carcassonne","Team time trial","TI–Raleigh–Creda",NA
"792","5",1981-06-30,117,"Saint-Gaudens","Pla d'Adet","Stage with mountain(s)","Lucien Van Impe","BEL"
"793","6",1981-07-01,27,"Nay","Pau","Individual time trial","Bernard Hinault","FRA"
"794","7",1981-07-02,227,"Pau","Bordeaux","Plain stage","Urs Freuler","SUI"
"795","8",1981-07-03,182,"Rochefort","Nantes","Plain stage","Ad Wijnands","NED"
"796","9",1981-07-05,197,"Nantes","Le Mans","Plain stage","René Martens","BEL"
"797","10",1981-07-06,264,"Le Mans","Aulnay-sous-Bois","Plain stage","Ad Wijnands","NED"
"798","11",1981-07-07,246,"Compiègne","Roubaix","Plain stage","Daniel Willems","BEL"
"799","12a",1981-07-08,107,"Roubaix","Brussels","Plain stage","Freddy Maertens","BEL"
